DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-04-02 00:00:00,3.8,10329.0,29,15.5,89,999,3.2,3003.0,2501.0
2021-04-02 00:15:00,3.8,10856.0,29,15.5,89,999,2.9,2422.0,3350.0
2021-04-02 00:30:00,3.8,11671.0,28,15.4,89,999,3.0,2135.0,1161.0
2021-04-02 00:45:00,3.9,12485.0,27,15.4,90,999,2.9,1792.0,1965.0
2021-04-02 01:00:00,4.0,13300.0,27,15.3,90,999,2.5,704.0,983.0
2021-04-02 01:15:00,4.0,13783.0,27,15.3,90,999,1.9,-104.0,0.0
2021-04-02 01:30:00,4.0,13935.0,25,15.2,90,999,2.4,-94.0,0.0
2021-04-02 01:45:00,4.0,14086.0,25,15.1,91,998,2.5,-92.0,0.0
2021-04-02 02:00:00,3.9,14238.0,24,15.0,91,998,2.6,-89.0,0.0
2021-04-02 02:15:00,3.9,14227.0,23,15.0,91,998,3.2,1711.0,0.0
2021-04-02 02:30:00,3.8,14053.0,20,14.9,91,998,2.9,1656.0,3037.0
2021-04-02 02:45:00,3.7,13879.0,16,14.9,92,998,2.5,317.0,849.0
2021-04-02 03:00:00,3.7,13705.0,13,14.8,92,998,2.7,241.0,0.0
2021-04-02 03:15:00,3.6,13361.0,13,14.8,92,998,2.1,-116.0,0.0
2021-04-02 03:30:00,3.4,12847.0,15,14.8,92,998,1.9,-83.0,0.0
2021-04-02 03:45:00,3.4,12332.0,19,14.7,93,998,2.1,-104.0,0.0
2021-04-02 04:00:00,3.2,11818.0,22,14.7,93,998,1.9,-85.0,0.0
2021-04-02 04:15:00,3.2,11246.0,24,14.7,93,998,2.1,-95.0,0.0
2021-04-02 04:30:00,3.1,10616.0,22,14.7,93,998,1.7,-112.0,0.0
2021-04-02 04:45:00,3.2,10000.0004402823,20,14.6,94,999,2.4,-96.0,0.0
2021-04-02 05:00:00,3.2,10000.004298526801,18,14.6,94,999,2.4,-134.0,0.0
2021-04-02 05:15:00,3.0,10000.003931978,17,14.6,94,999,2.4,-83.0,0.0
2021-04-02 05:30:00,2.8,10000.004640494699,17,14.6,94,999,2.4,-105.0,0.0
2021-04-02 05:45:00,2.7,10000.003921973,15,14.6,94,999,2.3,-89.0,0.0
2021-04-02 06:00:00,2.5,10000.0007338612,14,14.6,94,999,2.5,-96.0,0.0
2021-04-02 06:15:00,2.3,10000.0042035147,13,14.6,94,999,2.5,-103.0,0.0
2021-04-02 06:30:00,2.2,10000.0045185735,13,14.6,94,999,2.6,192.0,0.0
2021-04-02 06:45:00,2.0,10000.0047375551,15,14.7,93,1000,2.5,17.0,0.0
2021-04-02 07:00:00,1.9,10051.0,16,14.7,93,1000,2.6,171.0,0.0
2021-04-02 07:15:00,1.8,10000.0004900698,16,14.7,93,1000,2.6,49.0,0.0
2021-04-02 07:30:00,1.7,10000.0033601991,13,14.8,93,1000,2.7,176.0,0.0
2021-04-02 07:45:00,1.8,10000.001780708,9,14.9,93,1000,3.1,306.0,0.0
2021-04-02 08:00:00,1.8,10000.004695231999,6,15.0,93,1000,3.2,1597.0,1787.0
2021-04-02 08:15:00,1.8,10000.001996206,6,15.1,93,1000,2.4,-45.0,0.0
2021-04-02 08:30:00,1.7,10000.0041394926,3,15.2,92,1000,2.7,-59.0,0.0
2021-04-02 08:45:00,1.6,10000.0029051307,0,15.4,92,1000,2.8,-104.0,0.0
2021-04-02 09:00:00,1.5,10000.000694791801,356,15.5,91,1000,2.6,-102.0,0.0
