DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-04-02 00:00:00,6.0,27004.0,237,18.5,27,763,9.1,103617.0,
2021-04-02 00:15:00,5.8,25894.0,238,18.1,27,763,9.0,99517.0,
2021-04-02 00:30:00,5.7,25049.0,238,17.8,28,763,8.0,79831.0,
2021-04-02 00:45:00,5.6,24205.0,239,17.5,29,763,7.1,57945.0,
2021-04-02 01:00:00,5.5,23360.0,239,17.2,30,763,7.5,68921.0,
2021-04-02 01:15:00,5.3,22166.0,241,16.9,30,763,7.4,72995.0,
2021-04-02 01:30:00,5.0,20623.0,242,16.6,31,763,7.4,68789.0,
2021-04-02 01:45:00,4.7,19080.0,245,16.3,32,763,7.3,67361.0,
2021-04-02 02:00:00,4.3,17537.0,247,16.0,33,763,7.2,67093.0,
2021-04-02 02:15:00,4.1,16346.0,247,15.8,33,763,7.5,71426.0,
2021-04-02 02:30:00,4.0,15508.0,247,15.7,33,763,7.9,77293.0,
2021-04-02 02:45:00,3.9,14669.0,247,15.6,34,762,7.7,71432.0,
2021-04-02 03:00:00,3.8,13831.0,247,15.5,34,762,7.7,74116.0,
2021-04-02 03:15:00,3.8,13377.0,245,15.3,34,762,7.6,72181.0,
2021-04-02 03:30:00,3.8,13306.0,242,15.0,35,762,7.8,75574.0,
2021-04-02 03:45:00,3.9,13236.0,240,14.8,35,762,8.2,86835.0,
2021-04-02 04:00:00,4.0,13165.0,237,14.5,36,762,8.9,99690.0,
2021-04-02 04:15:00,4.2,13230.0,237,14.3,37,762,8.5,91548.0,
2021-04-02 04:30:00,4.3,13431.0,237,14.1,38,762,7.9,79638.0,
2021-04-02 04:45:00,4.4,13631.0,237,14.0,39,762,8.0,79998.0,
2021-04-02 05:00:00,4.5,13832.0,238,13.8,40,762,7.7,77504.0,
2021-04-02 05:15:00,4.5,13974.0,238,13.6,41,762,7.9,80909.0,
2021-04-02 05:30:00,4.6,14058.0,238,13.4,42,762,8.1,84431.0,
2021-04-02 05:45:00,4.6,14141.0,240,13.3,43,763,8.1,86594.0,
2021-04-02 06:00:00,4.7,14225.0,241,13.1,44,763,8.2,87341.0,
2021-04-02 06:15:00,4.7,14258.0,241,13.0,44,763,8.6,90716.0,
2021-04-02 06:30:00,4.8,14241.0,241,12.9,45,763,8.6,89529.0,
2021-04-02 06:45:00,4.7,14223.0,242,12.8,45,763,9.3,103855.0,
2021-04-02 07:00:00,4.8,14206.0,243,12.7,46,763,10.3,115148.0,
2021-04-02 07:15:00,4.8,14102.0,243,13.0,45,763,10.7,123704.0,
2021-04-02 07:30:00,4.8,13912.0,243,13.7,43,763,10.6,121998.0,
2021-04-02 07:45:00,4.7,13721.0,243,14.4,42,764,10.4,117420.0,
2021-04-02 08:00:00,4.7,13531.0,243,15.1,40,764,10.1,118578.0,
2021-04-02 08:15:00,4.6,12851.0,243,15.8,38,764,10.1,118601.0,
2021-04-02 08:30:00,4.4,11682.0,243,16.6,36,764,9.8,113690.0,
2021-04-02 08:45:00,4.3,10513.0,242,17.4,35,765,10.2,116847.0,
2021-04-02 09:00:00,4.1,9344.0,242,18.2,33,765,10.2,118168.0,
2021-04-02 09:15:00,4.2,12602.0,242,19.0,31,765,9.9,115136.0,
2021-04-02 09:30:00,4.7,20288.0,241,19.7,29,765,9.7,111241.0,
2021-04-02 09:45:00,5.3,27973.0,241,20.5,28,765,9.2,105459.0,
2021-04-02 10:00:00,5.8,35659.0,240,21.2,26,765,11.3,126398.0,
2021-04-02 10:15:00,6.5,45902.0,241,21.9,25,765,11.3,126295.0,
2021-04-02 10:30:00,7.4,58702.0,243,22.4,24,765,11.4,128408.0,
2021-04-02 10:45:00,8.3,71503.0,244,22.9,23,765,11.6,129449.0,
2021-04-02 11:00:00,9.2,84303.0,246,23.4,22,765,12.5,131452.0,
2021-04-02 11:15:00,9.7,92562.0,246,23.8,21,765,12.1,131267.0,
2021-04-02 11:30:00,9.8,96280.0,246,24.1,21,765,12.2,134646.0,
2021-04-02 11:45:00,9.9,99997.0,246,24.4,20,765,11.6,127917.0,
2021-04-02 12:00:00,10.1,103715.0,246,24.7,20,765,11.9,130783.0,
2021-04-02 12:15:00,10.2,107176.0,246,25.1,19,765,11.2,124538.0,
2021-04-02 12:30:00,10.4,110380.0,247,25.6,18,765,12.2,132290.0,
2021-04-02 12:45:00,10.8,113584.0,247,26.1,17,764,11.4,127881.0,
2021-04-02 13:00:00,11.0,116788.0,248,26.6,16,764,11.5,127437.0,
2021-04-02 13:15:00,11.2,118893.0,248,27.0,15,764,11.1,121506.0,
2021-04-02 13:30:00,11.3,119899.0,248,27.1,15,764,11.1,121159.0,
